Model,Risk tier,Condition,N,Mean Q3,SD,95% CI lower,95% CI upper
Claude Sonnet,Low,Neutral,60,0.3,0.696,0.124,0.476
Claude Sonnet,Low,Motivated,60,0.35,0.755,0.159,0.541
Claude Sonnet,Medium,Neutral,60,3.483,0.792,3.283,3.684
Claude Sonnet,Medium,Motivated,60,3.717,0.613,3.562,3.872
Claude Sonnet,High,Neutral,120,4.85,0.359,4.786,4.914
Claude Sonnet,High,Motivated,120,4.892,0.312,4.836,4.948
GPT-4o,Low,Neutral,60,0.0,0.0,0.0,0.0
GPT-4o,Low,Motivated,60,0.0,0.0,0.0,0.0
GPT-4o,Medium,Neutral,60,2.783,0.691,2.608,2.958
GPT-4o,Medium,Motivated,60,2.967,0.758,2.775,3.159
GPT-4o,High,Neutral,120,4.492,0.722,4.363,4.621
GPT-4o,High,Motivated,120,4.617,0.624,4.505,4.728
GPT-4o mini,Low,Neutral,60,0.0,0.0,0.0,0.0
GPT-4o mini,Low,Motivated,60,0.0,0.0,0.0,0.0
GPT-4o mini,Medium,Neutral,60,2.683,0.77,2.488,2.878
GPT-4o mini,Medium,Motivated,60,2.6,0.616,2.444,2.756
GPT-4o mini,High,Neutral,120,4.317,0.86,4.163,4.471
GPT-4o mini,High,Motivated,120,4.425,0.806,4.281,4.569
Gemini 2.5 Flash,Low,Neutral,60,0.017,0.129,-0.016,0.049
Gemini 2.5 Flash,Low,Motivated,60,0.0,0.0,0.0,0.0
Gemini 2.5 Flash,Medium,Neutral,60,1.717,1.563,1.321,2.112
Gemini 2.5 Flash,Medium,Motivated,60,2.133,1.546,1.742,2.524
Gemini 2.5 Flash,High,Neutral,120,4.467,1.122,4.266,4.667
Gemini 2.5 Flash,High,Motivated,120,4.392,1.324,4.155,4.629
DeepSeek V3,Low,Neutral,60,0.167,0.493,0.042,0.291
DeepSeek V3,Low,Motivated,60,0.5,0.854,0.284,0.716
DeepSeek V3,Medium,Neutral,60,3.3,0.809,3.095,3.505
DeepSeek V3,Medium,Motivated,60,3.65,0.481,3.528,3.772
DeepSeek V3,High,Neutral,120,4.775,0.439,4.696,4.854
DeepSeek V3,High,Motivated,120,4.858,0.35,4.796,4.921
Llama 3.3 70B,Low,Neutral,60,0.0,0.0,0.0,0.0
Llama 3.3 70B,Low,Motivated,60,0.0,0.0,0.0,0.0
Llama 3.3 70B,Medium,Neutral,60,2.7,0.53,2.566,2.834
Llama 3.3 70B,Medium,Motivated,60,2.9,0.858,2.683,3.117
Llama 3.3 70B,High,Neutral,120,4.667,0.748,4.533,4.801
Llama 3.3 70B,High,Motivated,120,4.692,0.708,4.565,4.818
Grok 3,Low,Neutral,60,0.1,0.44,-0.011,0.211
Grok 3,Low,Motivated,60,0.133,0.503,0.006,0.261
Grok 3,Medium,Neutral,60,3.017,0.77,2.822,3.212
Grok 3,Medium,Motivated,60,3.233,0.621,3.076,3.39
Grok 3,High,Neutral,120,4.4,0.691,4.276,4.524
Grok 3,High,Motivated,120,4.575,0.513,4.483,4.667
